API,Description,Example
"tf.broadcast_to(
    input, shape, name=None
)
",[],"x = tf.constant([[1, 2, 3]])   # Shape (1, 3,)
y = tf.broadcast_to(x, [2, 3])
print(y)
tf.Tensor(
    [[1 2 3]
     [1 2 3]], shape=(2, 3), dtype=int32)"
"tf.case(
    pred_fn_pairs,
    default=None,
    exclusive=False,
    strict=False,
    name='case'
)
",[],"if (x < y) return 17;
else return 23;
"
"tf.cast(
    x, dtype, name=None
)
",[],"x = tf.constant([1.8, 2.2], dtype=tf.float32)
tf.cast(x, tf.int32)
<tf.Tensor: shape=(2,), dtype=int32, numpy=array([1, 2], dtype=int32)>"
"tf.clip_by_global_norm(
    t_list, clip_norm, use_norm=None, name=None
)
",[],"t_list[i] * clip_norm / max(global_norm, clip_norm)
"
"tf.clip_by_norm(
    t, clip_norm, axes=None, name=None
)
",[],"some_nums = tf.constant([[1, 2, 3, 4, 5]], dtype=tf.float32)
tf.clip_by_norm(some_nums, 2.0).numpy()
array([[0.26967996, 0.5393599 , 0.80903983, 1.0787199 , 1.3483998 ]],
      dtype=float32)"
"tf.clip_by_value(
    t, clip_value_min, clip_value_max, name=None
)
",[],"t = tf.constant([[-10., -1., 0.], [0., 2., 10.]])
t2 = tf.clip_by_value(t, clip_value_min=-1, clip_value_max=1)
t2.numpy()
array([[-1., -1.,  0.],
       [ 0.,  1.,  1.]], dtype=float32)"
"tf.compat.as_bytes(
    bytes_or_text, encoding='utf-8'
)
","[['Converts ', 'bytearray', ', ', 'bytes', ', or unicode python input types to ', 'bytes', '.']]",[]
"tf.compat.as_str(
    bytes_or_text, encoding='utf-8'
)
",[],[]
"tf.compat.as_str_any(
    value, encoding='utf-8'
)
","[['Converts input to ', 'str', ' type.']]",[]
"tf.compat.as_text(
    bytes_or_text, encoding='utf-8'
)
",[],[]
"tf.compat.dimension_at_index(
    shape, index
)
",[],"# If you had this in your V1 code:
dim = tensor_shape[i]

# Use `dimension_at_index` as direct replacement compatible with both V1 & V2:
dim = dimension_at_index(tensor_shape, i)

# Another possibility would be this, but WARNING: it only works if the
# tensor_shape instance has a defined rank.
dim = tensor_shape.dims[i]  # `dims` may be None if the rank is undefined!

# In native V2 code, we recommend instead being more explicit:
if tensor_shape.rank is None:
  dim = Dimension(None)
else:
  dim = tensor_shape.dims[i]

# Being more explicit will save you from the following trap (present in V1):
# you might do in-place modifications to `dim` and expect them to be reflected
# in `tensor_shape[i]`, but they would not be (as the Dimension object was
# instantiated on the fly.
"
"tf.compat.dimension_value(
    dimension
)
",[],"# If you had this in your V1 code:
value = tensor_shape[i].value

# Use `dimension_value` as direct replacement compatible with both V1 & V2:
value = dimension_value(tensor_shape[i])

# This would be the V2 equivalent:
value = tensor_shape[i]  # Warning: this will return the dim value in V2!
"
"tf.compat.forward_compatible(
    year, month, day
)
",[],"def add(inputs, name=None):
  return gen_math_ops.add(inputs, name)
"
"tf.compat.path_to_str(
    path
)
","[[None, '\n'], ['Converts input which is a ', 'PathLike', ' object to ', 'str', ' type.']]","$ tf.compat.path_to_str('C:\XYZ\tensorflow\./.././tensorflow')
'C:\XYZ\tensorflow\./.././tensorflow' # Windows OS
$ tf.compat.path_to_str(Path('C:\XYZ\tensorflow\./.././tensorflow'))
'C:\XYZ\tensorflow\..\tensorflow' # Windows OS
$ tf.compat.path_to_str(Path('./corpus'))
'corpus' # Linux OS
$ tf.compat.path_to_str('./.././Corpus')
'./.././Corpus' # Linux OS
$ tf.compat.path_to_str(Path('./.././Corpus'))
'../Corpus' # Linux OS
$ tf.compat.path_to_str(Path('./..////../'))
'../..' # Linux OS

"
"tf.dtypes.complex(
    real, imag, name=None
)
","[[None, '\n']]","real = tf.constant([2.25, 3.25])
imag = tf.constant([4.75, 5.75])
tf.complex(real, imag)  # [[2.25 + 4.75j], [3.25 + 5.75j]]
"
"tf.concat(
    values, axis, name='concat'
)
",[],"[D0, D1, ... Raxis, ...Dn]
"
"tf.cond(
    pred, true_fn=None, false_fn=None, name=None
)
","[['Return ', 'true_fn()', ' if the predicate ', 'pred', ' is true else ', 'false_fn()', '.']]","z = tf.multiply(a, b)
result = tf.cond(x < y, lambda: tf.add(x, z), lambda: tf.square(y))
"
"tf.config.LogicalDevice(
    name, device_type
)
",[],[]
"tf.config.LogicalDeviceConfiguration(
    memory_limit=None,
    experimental_priority=None,
    experimental_device_ordinal=None
)
",[],[]
"tf.config.PhysicalDevice(
    name, device_type
)
",[],[]
"tf.config.LogicalDeviceConfiguration(
    memory_limit=None,
    experimental_priority=None,
    experimental_device_ordinal=None
)
",[],[]
"tf.config.experimental.enable_tensor_float_32_execution(
    enabled
)
",[],"x = tf.fill((2, 2), 1.0001)
y = tf.fill((2, 2), 1.)
# TensorFloat-32 is enabled, so matmul is run with reduced precision
print(tf.linalg.matmul(x, y))  # [[2., 2.], [2., 2.]]
tf.config.experimental.enable_tensor_float_32_execution(False)
# Matmul is run with full precision
print(tf.linalg.matmul(x, y))  # [[2.0002, 2.0002], [2.0002, 2.0002]]
"
"tf.config.experimental.get_device_details(
    device
)
",[],"gpu_devices = tf.config.list_physical_devices('GPU')
if gpu_devices:
  details = tf.config.experimental.get_device_details(gpu_devices[0])
  details.get('device_name', 'Unknown GPU')"
"tf.config.experimental.get_memory_growth(
    device
)
","[['Get if memory growth is enabled for a ', 'PhysicalDevice', '.']]","physical_devices = tf.config.list_physical_devices('GPU')
try:
  tf.config.experimental.set_memory_growth(physical_devices[0], True)
  assert tf.config.experimental.get_memory_growth(physical_devices[0])
except:
  # Invalid device or cannot modify virtual devices once initialized.
  pass"
"tf.config.experimental.get_memory_info(
    device
)
",[],"if tf.config.list_physical_devices('GPU'):
  # Returns a dict in the form {'current': <current mem usage>,
  #                             'peak': <peak mem usage>}
  tf.config.experimental.get_memory_info('GPU:0')"
"tf.config.experimental.get_memory_usage(
    device
)
",[],"gpu_devices = tf.config.list_physical_devices('GPU')
if gpu_devices:
  tf.config.experimental.get_memory_usage('GPU:0')"
"tf.config.get_logical_device_configuration(
    device
)
","[['Get the virtual device configuration for a ', 'tf.config.PhysicalDevice', '.']]","physical_devices = tf.config.list_physical_devices('CPU')
assert len(physical_devices) == 1, ""No CPUs found""
configs = tf.config.get_logical_device_configuration(
  physical_devices[0])
try:
  assert configs is None
  tf.config.set_logical_device_configuration(
    physical_devices[0],
    [tf.config.LogicalDeviceConfiguration(),
     tf.config.LogicalDeviceConfiguration()])
  configs = tf.config.get_logical_device_configuration(
    physical_devices[0])
  assert len(configs) == 2
except:
  # Cannot modify virtual devices once initialized.
  pass"
"tf.config.get_visible_devices(
    device_type=None
)
",[],"physical_devices = tf.config.list_physical_devices('GPU')
try:
  # Disable all GPUS
  tf.config.set_visible_devices([], 'GPU')
  visible_devices = tf.config.get_visible_devices()
  for device in visible_devices:
    assert device.device_type != 'GPU'
except:
  # Invalid device or cannot modify virtual devices once initialized.
  pass"
"tf.config.list_logical_devices(
    device_type=None
)
",[],"logical_devices = tf.config.list_logical_devices('GPU')
if len(logical_devices) > 0:
  # Allocate on GPU:0
  with tf.device(logical_devices[0].name):
    one = tf.constant(1)
  # Allocate on GPU:1
  with tf.device(logical_devices[1].name):
    two = tf.constant(2)"
"tf.config.list_physical_devices(
    device_type=None
)
",[],"physical_devices = tf.config.list_physical_devices('GPU')
print(""Num GPUs:"", len(physical_devices))
Num GPUs: ..."
"tf.config.experimental.reset_memory_stats(
    device
)
",[],"if tf.config.list_physical_devices('GPU'):
  # Sets the peak memory to the current memory.
  tf.config.experimental.reset_memory_stats('GPU:0')
  # Creates the first peak memory usage.
  x1 = tf.ones(1000 * 1000, dtype=tf.float64)
  del x1 # Frees the memory referenced by `x1`.
  peak1 = tf.config.experimental.get_memory_info('GPU:0')['peak']
  # Sets the peak memory to the current memory again.
  tf.config.experimental.reset_memory_stats('GPU:0')
  # Creates the second peak memory usage.
  x2 = tf.ones(1000 * 1000, dtype=tf.float32)
  del x2
  peak2 = tf.config.experimental.get_memory_info('GPU:0')['peak']
  assert peak2 < peak1  # tf.float32 consumes less memory than tf.float64."
"tf.config.experimental.set_device_policy(
    device_policy
)
",[],[]
"tf.config.experimental.set_memory_growth(
    device, enable
)
","[['Set if memory growth should be enabled for a ', 'PhysicalDevice', '.']]","physical_devices = tf.config.list_physical_devices('GPU')
try:
  tf.config.experimental.set_memory_growth(physical_devices[0], True)
except:
  # Invalid device or cannot modify virtual devices once initialized.
  pass"
"tf.config.experimental.set_synchronous_execution(
    enable
)
",[],[]
"tf.config.set_logical_device_configuration(
    device, logical_devices
)
","[['Set the logical device configuration for a ', 'tf.config.PhysicalDevice', '.']]","physical_devices = tf.config.list_physical_devices('CPU')
assert len(physical_devices) == 1, ""No CPUs found""
# Specify 2 virtual CPUs. Note currently memory limit is not supported.
try:
  tf.config.set_logical_device_configuration(
    physical_devices[0],
    [tf.config.LogicalDeviceConfiguration(),
     tf.config.LogicalDeviceConfiguration()])
  logical_devices = tf.config.list_logical_devices('CPU')
  assert len(logical_devices) == 2
  tf.config.set_logical_device_configuration(
    physical_devices[0],
    [tf.config.LogicalDeviceConfiguration(),
     tf.config.LogicalDeviceConfiguration(),
     tf.config.LogicalDeviceConfiguration(),
     tf.config.LogicalDeviceConfiguration()])
except:
  # Cannot modify logical devices once initialized.
  pass"
"tf.config.set_visible_devices(
    devices, device_type=None
)
",[],"physical_devices = tf.config.list_physical_devices('GPU')
try:
  # Disable first GPU
  tf.config.set_visible_devices(physical_devices[1:], 'GPU')
  logical_devices = tf.config.list_logical_devices('GPU')
  # Logical device was not created for first GPU
  assert len(logical_devices) == len(physical_devices) - 1
except:
  # Invalid device or cannot modify virtual devices once initialized.
  pass"
"tf.config.experimental_connect_to_cluster(
    cluster_spec_or_resolver,
    job_name='localhost',
    task_index=0,
    protocol=None,
    make_master_device_default=True,
    cluster_device_filters=None
)
",[],"cdf = tf.config.experimental.ClusterDeviceFilters()
# For any worker, only the devices on PS nodes and itself are visible
for i in range(num_workers):
  cdf.set_device_filters('worker', i, ['/job:ps'])
# Similarly for any ps, only the devices on workers and itself are visible
for i in range(num_ps):
  cdf.set_device_filters('ps', i, ['/job:worker'])

tf.config.experimental_connect_to_cluster(cluster_def,
                                          cluster_device_filters=cdf)
"
"tf.config.experimental_connect_to_host(
    remote_host=None, job_name='worker'
)
",[],"# When eager execution is enabled, connect to the remote host.
tf.config.experimental_connect_to_host(""exampleaddr.com:9876"")

with ops.device(""job:worker/replica:0/task:1/device:CPU:0""):
  # The following tensors should be resident on the remote device, and the op
  # will also execute remotely.
  x1 = array_ops.ones([2, 2])
  x2 = array_ops.ones([2, 2])
  y = math_ops.matmul(x1, x2)
"
"tf.config.experimental_run_functions_eagerly(
    run_eagerly
)
","[['Enables / disables eager execution of ', 'tf.function', 's. (deprecated)']]",[]
"tf.config.get_logical_device_configuration(
    device
)
","[['Get the virtual device configuration for a ', 'tf.config.PhysicalDevice', '.']]","physical_devices = tf.config.list_physical_devices('CPU')
assert len(physical_devices) == 1, ""No CPUs found""
configs = tf.config.get_logical_device_configuration(
  physical_devices[0])
try:
  assert configs is None
  tf.config.set_logical_device_configuration(
    physical_devices[0],
    [tf.config.LogicalDeviceConfiguration(),
     tf.config.LogicalDeviceConfiguration()])
  configs = tf.config.get_logical_device_configuration(
    physical_devices[0])
  assert len(configs) == 2
except:
  # Cannot modify virtual devices once initialized.
  pass"
"tf.config.get_visible_devices(
    device_type=None
)
",[],"physical_devices = tf.config.list_physical_devices('GPU')
try:
  # Disable all GPUS
  tf.config.set_visible_devices([], 'GPU')
  visible_devices = tf.config.get_visible_devices()
  for device in visible_devices:
    assert device.device_type != 'GPU'
except:
  # Invalid device or cannot modify virtual devices once initialized.
  pass"
"tf.config.list_logical_devices(
    device_type=None
)
",[],"logical_devices = tf.config.list_logical_devices('GPU')
if len(logical_devices) > 0:
  # Allocate on GPU:0
  with tf.device(logical_devices[0].name):
    one = tf.constant(1)
  # Allocate on GPU:1
  with tf.device(logical_devices[1].name):
    two = tf.constant(2)"
"tf.config.list_physical_devices(
    device_type=None
)
",[],"physical_devices = tf.config.list_physical_devices('GPU')
print(""Num GPUs:"", len(physical_devices))
Num GPUs: ..."
"tf.config.optimizer.get_jit() -> str
","[['Returns JIT compilation configuration for code inside ', 'tf.function', '.']]",[]
"tf.config.optimizer.set_experimental_options(
    options
)
",[],[]
"tf.config.optimizer.set_jit(
    enabled: Union[bool, str]
)
",[],[]
"tf.config.run_functions_eagerly(
    run_eagerly
)
","[['Enables / disables eager execution of ', 'tf.function', 's.']]","def my_func(a):
 print(""Python side effect"")
 return a + a
a_fn = tf.function(my_func)"
"tf.config.set_logical_device_configuration(
    device, logical_devices
)
","[['Set the logical device configuration for a ', 'tf.config.PhysicalDevice', '.']]","physical_devices = tf.config.list_physical_devices('CPU')
assert len(physical_devices) == 1, ""No CPUs found""
# Specify 2 virtual CPUs. Note currently memory limit is not supported.
try:
  tf.config.set_logical_device_configuration(
    physical_devices[0],
    [tf.config.LogicalDeviceConfiguration(),
     tf.config.LogicalDeviceConfiguration()])
  logical_devices = tf.config.list_logical_devices('CPU')
  assert len(logical_devices) == 2
  tf.config.set_logical_device_configuration(
    physical_devices[0],
    [tf.config.LogicalDeviceConfiguration(),
     tf.config.LogicalDeviceConfiguration(),
     tf.config.LogicalDeviceConfiguration(),
     tf.config.LogicalDeviceConfiguration()])
except:
  # Cannot modify logical devices once initialized.
  pass"
"tf.config.set_soft_device_placement(
    enabled
)
",[],[]
"tf.config.set_visible_devices(
    devices, device_type=None
)
",[],"physical_devices = tf.config.list_physical_devices('GPU')
try:
  # Disable first GPU
  tf.config.set_visible_devices(physical_devices[1:], 'GPU')
  logical_devices = tf.config.list_logical_devices('GPU')
  # Logical device was not created for first GPU
  assert len(logical_devices) == len(physical_devices) - 1
except:
  # Invalid device or cannot modify virtual devices once initialized.
  pass"
"tf.config.threading.set_inter_op_parallelism_threads(
    num_threads
)
",[],[]
"tf.config.threading.set_intra_op_parallelism_threads(
    num_threads
)
",[],[]
"tf.constant(
    value, dtype=None, shape=None, name='Const'
)
",[],"# Constant 1-D Tensor from a python list.
tf.constant([1, 2, 3, 4, 5, 6])
<tf.Tensor: shape=(6,), dtype=int32,
    numpy=array([1, 2, 3, 4, 5, 6], dtype=int32)>
# Or a numpy array
a = np.array([[1, 2, 3], [4, 5, 6]])
tf.constant(a)
<tf.Tensor: shape=(2, 3), dtype=int64, numpy=
  array([[1, 2, 3],
         [4, 5, 6]])>"
"tf.constant_initializer(
    value=0
)
",[],"def make_variables(k, initializer):
  return (tf.Variable(initializer(shape=[k], dtype=tf.float32)),
          tf.Variable(initializer(shape=[k, k], dtype=tf.float32)))
v1, v2 = make_variables(3, tf.constant_initializer(2.))
v1
<tf.Variable ... shape=(3,) ... numpy=array([2., 2., 2.], dtype=float32)>
v2
<tf.Variable ... shape=(3, 3) ... numpy=
array([[2., 2., 2.],
       [2., 2., 2.],
       [2., 2., 2.]], dtype=float32)>
make_variables(4, tf.random_uniform_initializer(minval=-1., maxval=1.))
(<tf.Variable...shape=(4,) dtype=float32...>, <tf.Variable...shape=(4, 4) ..."
"tf.control_dependencies(
    control_inputs
)
","[['Wrapper for ', 'Graph.control_dependencies()', ' using the default graph.']]",[]
"tf.convert_to_tensor(
    value, dtype=None, dtype_hint=None, name=None
)
","[['Converts the given ', 'value', ' to a ', 'Tensor', '.']]","import numpy as np
def my_func(arg):
  arg = tf.convert_to_tensor(arg, dtype=tf.float32)
  return arg"
"tf.math.cos(
    x, name=None
)
",[],"  x = tf.constant([-float(""inf""), -9, -0.5, 1, 1.2, 200, 10000, float(""inf"")])
  tf.math.cos(x) ==> [nan -0.91113025 0.87758255 0.5403023 0.36235774 0.48718765 -0.95215535 nan]
"
"tf.math.cosh(
    x, name=None
)
",[],"  x = tf.constant([-float(""inf""), -9, -0.5, 1, 1.2, 2, 10, float(""inf"")])
  tf.math.cosh(x) ==> [inf 4.0515420e+03 1.1276259e+00 1.5430807e+00 1.8106556e+00 3.7621956e+00 1.1013233e+04 inf]
"
"tf.math.cumsum(
    x, axis=0, exclusive=False, reverse=False, name=None
)
","[['Compute the cumulative sum of the tensor ', 'x', ' along ', 'axis', '.']]","# tf.cumsum([a, b, c])   # [a, a + b, a + b + c]
x = tf.constant([2, 4, 6, 8])
tf.cumsum(x)
<tf.Tensor: shape=(4,), dtype=int32,
numpy=array([ 2,  6, 12, 20], dtype=int32)>"
"tf.custom_gradient(
    f=None
)
",[],"def log1pexp(x):
  return tf.math.log(1 + tf.exp(x))
"
"tf.data.Dataset(
    variant_tensor
)
",[],"dataset = tf.data.Dataset.from_tensor_slices([1, 2, 3])
for element in dataset:
  print(element)
tf.Tensor(1, shape=(), dtype=int32)
tf.Tensor(2, shape=(), dtype=int32)
tf.Tensor(3, shape=(), dtype=int32)"
"tf.data.DatasetSpec(
    element_spec, dataset_shape=()
)
","[['Type specification for ', 'tf.data.Dataset', '.'], ['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","dataset = tf.data.Dataset.range(3)
tf.data.DatasetSpec.from_value(dataset)
DatasetSpec(TensorSpec(shape=(), dtype=tf.int64, name=None), TensorShape([]))"
"tf.data.FixedLengthRecordDataset(
    filenames,
    record_bytes,
    header_bytes=None,
    footer_bytes=None,
    buffer_size=None,
    compression_type=None,
    num_parallel_reads=None,
    name=None
)
","[['A ', 'Dataset', ' of fixed-length records from one or more binary files.'], ['Inherits From: ', 'Dataset']]","with open('/tmp/fixed_length0.bin', 'wb') as f:
  f.write(b'HEADER012345FOOTER')
with open('/tmp/fixed_length1.bin', 'wb') as f:
  f.write(b'HEADER6789abFOOTER')"
"tf.data.IteratorSpec(
    element_spec
)
","[['Type specification for ', 'tf.data.Iterator', '.'], ['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","@tf.function(input_signature=[tf.data.IteratorSpec(
  tf.TensorSpec(shape=(), dtype=tf.int32, name=None))])
def square(iterator):
  x = iterator.get_next()
  return x * x
dataset = tf.data.Dataset.from_tensors(5)
iterator = iter(dataset)
print(square(iterator))
tf.Tensor(25, shape=(), dtype=int32)"
