API,Description,Example,,
"
mxnet.ndarray.LayerNorm(data=None, gamma=None, beta=None, axis=_Null, eps=_Null, output_mean_var=_Null, out=None, name=None, **kwargs)Â¶","['Layer normalization.', '\n', 'Normalizes the channels of the input tensor by mean and variance, and applies a scale ', 'gamma', ' as\nwell as offset ', 'beta', '.', '\n', 'Assume the input has more than one dimension and we normalize along axis 1.\nWe first compute the mean and variance along this axis and then\ncompute the normalized output, which has the same shape as input, as following:', '\n', '\n\\[out = \\frac{data - mean(data, axis)}{\\sqrt{var(data, axis) + \\epsilon}} * gamma + beta\\]', '\n', 'Both ', 'gamma', ' and ', 'beta', ' are learnable parameters.', '\n', 'Unlike BatchNorm and InstanceNorm,  the ', 'mean', ' and ', 'var', ' are computed along the channel dimension.', '\n', 'Assume the input has size ', 'k', ' on axis 1, then both ', 'gamma', ' and ', 'beta', '\nhave shape ', '(k,)', '. If ', 'output_mean_var', ' is set to be true, then outputs both ', 'data_mean', ' and\n', 'data_std', '. Note that no gradient will be passed through these two outputs.', '\n', 'The parameter ', 'axis', ' specifies which axis of the input shape denotes\nthe â\x80\x98channelâ\x80\x99 (separately normalized groups).  The default is -1, which sets the channel\naxis to be the last item in the input shape.', '\n', 'Defined in src/operator/nn/layer_norm.cc:L201', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.LeakyReLU(data=None, gamma=None, act_type=_Null, slope=_Null, lower_bound=_Null, upper_bound=_Null, out=None, name=None, **kwargs)Â¶","['Applies Leaky rectified linear unit activation element-wise to the input.', '\n', 'Leaky ReLUs attempt to fix the â\x80\x9cdying ReLUâ\x80\x9d problem by allowing a small ', 'slope', '\nwhen the input is negative and has a slope of one when input is positive.', '\n', 'The following modified ReLU Activation functions are supported:', '\n', '\n', 'elu', '\n', 'selu', '\n', 'leaky', '\n', 'prelu', '\n', 'rrelu', '\n', '\n', 'Defined in src/operator/leaky_relu.cc:L162', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.LinearRegressionOutput(data=None, label=None, grad_scale=_Null, out=None, name=None, **kwargs)Â¶","['Computes and optimizes for squared loss during backward propagation.\nJust outputs ', 'data', ' during forward propagation.', '\n', 'If ', '\\(\\hat{y}_i\\)', ' is the predicted value of the i-th sample, and ', '\\(y_i\\)', ' is the corresponding target value,\nthen the squared loss estimated over ', '\\(n\\)', ' samples is defined as', '\n', '\\(\\text{SquaredLoss}(\\textbf{Y}, \\hat{\\textbf{Y}} ) = \\frac{1}{n} \\sum_{i=0}^{n-1} \\lVert  \\textbf{y}_i - \\hat{\\textbf{y}}_i  \\rVert_2\\)', '\n', '\n', 'Note', '\n', 'Use the LinearRegressionOutput as the final output layer of a net.', '\n', '\n', 'The storage type of ', 'label', ' can be ', 'default', ' or ', 'csr', '\n', '\n', 'LinearRegressionOutput(default, default) = default', '\n', 'LinearRegressionOutput(default, csr) = default', '\n', '\n', 'By default, gradients of this loss function are scaled by factor ', '1/m', ', where m is the number of regression outputs of a training example.\nThe parameter ', 'grad_scale', ' can be used to change this scale to ', 'grad_scale/m', '.', '\n', 'Defined in src/operator/regression_output.cc:L92', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.LogisticRegressionOutput(data=None, label=None, grad_scale=_Null, out=None, name=None, **kwargs)Â¶","['Applies a logistic function to the input.', '\n', 'The logistic function, also known as the sigmoid function, is computed as\n', '\\(\\frac{1}{1+exp(-\\textbf{x})}\\)', '.', '\n', 'Commonly, the sigmoid is used to squash the real-valued output of a linear model\n', '\\(wTx+b\\)', ' into the [0,1] range so that it can be interpreted as a probability.\nIt is suitable for binary classification or probability prediction tasks.', '\n', '\n', 'Note', '\n', 'Use the LogisticRegressionOutput as the final output layer of a net.', '\n', '\n', 'The storage type of ', 'label', ' can be ', 'default', ' or ', 'csr', '\n', '\n', 'LogisticRegressionOutput(default, default) = default', '\n', 'LogisticRegressionOutput(default, csr) = default', '\n', '\n', 'The loss function used is the Binary Cross Entropy Loss:', '\n', '\\(-{(y\\log(p) + (1 - y)\\log(1 - p))}\\)', '\n', 'Where ', 'y', ' is the ground truth probability of positive outcome for a given example, and ', 'p', ' the probability predicted by the model. By default, gradients of this loss function are scaled by factor ', '1/m', ', where m is the number of regression outputs of a training example.\nThe parameter ', 'grad_scale', ' can be used to change this scale to ', 'grad_scale/m', '.', '\n', 'Defined in src/operator/regression_output.cc:L152', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.MAERegressionOutput(data=None, label=None, grad_scale=_Null, out=None, name=None, **kwargs)Â¶","['Computes mean absolute error of the input.', '\n', 'MAE is a risk metric corresponding to the expected value of the absolute error.', '\n', 'If ', '\\(\\hat{y}_i\\)', ' is the predicted value of the i-th sample, and ', '\\(y_i\\)', ' is the corresponding target value,\nthen the mean absolute error (MAE) estimated over ', '\\(n\\)', ' samples is defined as', '\n', '\\(\\text{MAE}(\\textbf{Y}, \\hat{\\textbf{Y}} ) = \\frac{1}{n} \\sum_{i=0}^{n-1} \\lVert \\textbf{y}_i - \\hat{\\textbf{y}}_i \\rVert_1\\)', '\n', '\n', 'Note', '\n', 'Use the MAERegressionOutput as the final output layer of a net.', '\n', '\n', 'The storage type of ', 'label', ' can be ', 'default', ' or ', 'csr', '\n', '\n', 'MAERegressionOutput(default, default) = default', '\n', 'MAERegressionOutput(default, csr) = default', '\n', '\n', 'By default, gradients of this loss function are scaled by factor ', '1/m', ', where m is the number of regression outputs of a training example.\nThe parameter ', 'grad_scale', ' can be used to change this scale to ', 'grad_scale/m', '.', '\n', 'Defined in src/operator/regression_output.cc:L120', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.MakeLoss(data=None, grad_scale=_Null, valid_thresh=_Null, normalization=_Null, out=None, name=None, **kwargs)Â¶","['Make your own loss function in network construction.', '\n', 'This operator accepts a customized loss function symbol as a terminal loss and\nthe symbol should be an operator with no backward dependency.\nThe output of this function is the gradient of loss with respect to the input data.', '\n', 'For example, if you are a making a cross entropy loss function. Assume ', 'out', ' is the\npredicted output and ', 'label', ' is the true label, then the cross entropy can be defined as:', '\n', None, '\n', '\n', 'We will need to use ', 'MakeLoss', ' when we are creating our own loss function or we want to\ncombine multiple loss functions. Also we may want to stop some variablesâ\x80\x99 gradients\nfrom backpropagation. See more detail in ', 'BlockGrad', ' or ', 'stop_gradient', '.', '\n', 'In addition, we can give a scale to the loss by setting ', 'grad_scale', ',\nso that the gradient of the loss will be rescaled in the backpropagation.', '\n', '\n', 'Note', '\n', 'This operator should be used as a Symbol instead of NDArray.', '\n', '\n', 'Defined in src/operator/make_loss.cc:L70', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.Pad(data=None, mode=_Null, pad_width=_Null, constant_value=_Null, out=None, name=None, **kwargs)Â¶","['Pads an input array with a constant or edge values of the array.', '\n', '\n', 'Note', '\n', 'Pad', '\n', '\n', '\n', 'Note', '\n', 'Current implementation only supports 4D and 5D input arrays with padding applied\nonly on axes 1, 2 and 3. Expects axes 4 and 5 in ', '\n', '\n', 'This operation pads an input array with either a ', 'constant_value', ' or edge values\nalong each axis of the input array. The amount of padding is specified by ', 'pad_width', '.', '\n', 'pad_width', ' is a tuple of integer padding widths for each axis of the format\n', '(before_1,', '. The ', 'pad_width', ' should be of length ', '2*N', '\nwhere ', 'N', ' is the number of dimensions of the array.', '\n', 'For dimension ', 'N', ' of the input array, ', 'before_N', ' and ', 'after_N', ' indicates how many values\nto add before and after the elements of the array along dimension ', 'N', '.\nThe widths of the higher two dimensions ', 'before_1', ', ', 'after_1', ', ', 'before_2', ',\n', 'after_2', ' must be 0.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/pad.cc:L765', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.Pooling(data=None, kernel=_Null, pool_type=_Null, global_pool=_Null, cudnn_off=_Null, pooling_convention=_Null, stride=_Null, pad=_Null, p_value=_Null, count_include_pad=_Null, layout=_Null, out=None, name=None, **kwargs)Â¶","['Performs pooling on the input.', '\n', 'The shapes for 1-D pooling are', '\n', '\n', 'data', '\n', '\n', 'The shapes for 2-D pooling are', '\n', '\n', 'data', '\n', '\n', 'The definition of ', 'f', ' depends on ', 'pooling_convention', ', which has two options:', '\n', '\n', 'valid', '\n', 'full', '\n', '\n', 'When ', 'global_pool', ' is set to be true, then global pooling is performed. It will reset\n', 'kernel=(height,', ' and set the appropiate padding to 0.', '\n', 'Three pooling options are supported by ', 'pool_type', ':', '\n', '\n', 'avg', '\n', 'max', '\n', 'sum', '\n', 'lp', '\n', '\n', 'For 3-D pooling, an additional ', 'depth', ' dimension is added before\n', 'height', '. Namely the input data and output will have shape ', '(batch_size, channel, depth,\nheight, width)', ' (NCDHW layout) or ', '(batch_size, depth, height, width, channel)', ' (NDHWC layout).', '\n', 'Notes on Lp pooling:', '\n', 'Lp pooling was first introduced by this paper: ', 'https://arxiv.org/pdf/1204.3968.pdf', '.\nL-1 pooling is simply sum pooling, while L-inf pooling is simply max pooling.\nWe can see that Lp pooling stands between those two, in practice the most common value for p is 2.', '\n', 'For each window ', 'X', ', the mathematical expression for Lp pooling is:', '\n', '\\(f(X) = \\sqrt[p]{\\sum_{x}^{X} x^p}\\)', '\n', 'Defined in src/operator/nn/pooling.cc:L416', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.Pooling_v1(data=None, kernel=_Null, pool_type=_Null, global_pool=_Null, pooling_convention=_Null, stride=_Null, pad=_Null, out=None, name=None, **kwargs)Â¶","['This operator is DEPRECATED.\nPerform pooling on the input.', '\n', 'The shapes for 2-D pooling is', '\n', '\n', 'data', '\n', 'out', '\n', '\n', 'The definition of ', 'f', ' depends on ', 'pooling_convention', ', which has two options:', '\n', '\n', 'valid', '\n', 'full', '\n', '\n', 'But ', 'global_pool', ' is set to be true, then do a global pooling, namely reset\n', 'kernel=(height,', '.', '\n', 'Three pooling options are supported by ', 'pool_type', ':', '\n', '\n', 'avg', '\n', 'max', '\n', 'sum', '\n', '\n', '1-D pooling is special case of 2-D pooling with ', 'weight=1', ' and\n', 'kernel[1]=1', '.', '\n', 'For 3-D pooling, an additional ', 'depth', ' dimension is added before\n', 'height', '. Namely the input data will have shape ', '(batch_size, channel, depth,\nheight, width)', '.', '\n', 'Defined in src/operator/pooling_v1.cc:L103', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.RNN(data=None, parameters=None, state=None, state_cell=None, sequence_length=None, state_size=_Null, num_layers=_Null, bidirectional=_Null, mode=_Null, p=_Null, state_outputs=_Null, projection_size=_Null, lstm_state_clip_min=_Null, lstm_state_clip_max=_Null, lstm_state_clip_nan=_Null, use_sequence_length=_Null, out=None, name=None, **kwargs)Â¶","['Applies recurrent layers to input data. Currently, vanilla RNN, LSTM and GRU are\nimplemented, with both multi-layer and bidirectional support.', '\n', 'When the input data is of type float32 and the environment variables MXNET_CUDA_ALLOW_TENSOR_CORE\nand MXNET_CUDA_TENSOR_OP_MATH_ALLOW_CONVERSION are set to 1, this operator will try to use\npseudo-float16 precision (float32 math with float16 I/O) precision in order to use\nTensor Cores on suitable NVIDIA GPUs. This can sometimes give significant speedups.', '\n', 'Vanilla RNN', '\n', 'Applies a single-gate recurrent layer to input X. Two kinds of activation function are supported:\nReLU and Tanh.', '\n', 'With ReLU activation function:', '\n', '\n\\[h_t = relu(W_{ih} * x_t + b_{ih}  +  W_{hh} * h_{(t-1)} + b_{hh})\\]', '\n', 'With Tanh activtion function:', '\n', '\n\\[h_t = \\tanh(W_{ih} * x_t + b_{ih}  +  W_{hh} * h_{(t-1)} + b_{hh})\\]', '\n', 'Reference paper: Finding structure in time - Elman, 1988.\n', 'https://crl.ucsd.edu/~elman/Papers/fsit.pdf', '\n', 'LSTM', '\n', 'Long Short-Term Memory - Hochreiter, 1997. ', 'http://www.bioinf.jku.at/publications/older/2604.pdf', '\n', '\n\\[\\begin{split}\\begin{array}{ll}\n          i_t = \\mathrm{sigmoid}(W_{ii} x_t + b_{ii} + W_{hi} h_{(t-1)} + b_{hi}) \\\\\n          f_t = \\mathrm{sigmoid}(W_{if} x_t + b_{if} + W_{hf} h_{(t-1)} + b_{hf}) \\\\\n          g_t = \\tanh(W_{ig} x_t + b_{ig} + W_{hc} h_{(t-1)} + b_{hg}) \\\\\n          o_t = \\mathrm{sigmoid}(W_{io} x_t + b_{io} + W_{ho} h_{(t-1)} + b_{ho}) \\\\\n          c_t = f_t * c_{(t-1)} + i_t * g_t \\\\\n          h_t = o_t * \\tanh(c_t)\n          \\end{array}\\end{split}\\]', '\n', 'With the projection size being set, LSTM could use the projection feature to reduce the parameters\nsize and give some speedups without significant damage to the accuracy.', '\n', 'Long Short-Term Memory Based Recurrent Neural Network Architectures for Large Vocabulary Speech\nRecognition - Sak et al. 2014. ', 'https://arxiv.org/abs/1402.1128', '\n', '\n\\[\\begin{split}\\begin{array}{ll}\n          i_t = \\mathrm{sigmoid}(W_{ii} x_t + b_{ii} + W_{ri} r_{(t-1)} + b_{ri}) \\\\\n          f_t = \\mathrm{sigmoid}(W_{if} x_t + b_{if} + W_{rf} r_{(t-1)} + b_{rf}) \\\\\n          g_t = \\tanh(W_{ig} x_t + b_{ig} + W_{rc} r_{(t-1)} + b_{rg}) \\\\\n          o_t = \\mathrm{sigmoid}(W_{io} x_t + b_{o} + W_{ro} r_{(t-1)} + b_{ro}) \\\\\n          c_t = f_t * c_{(t-1)} + i_t * g_t \\\\\n          h_t = o_t * \\tanh(c_t)\n          r_t = W_{hr} h_t\n          \\end{array}\\end{split}\\]', '\n', 'GRU', '\n', 'Gated Recurrent Unit - Cho et al. 2014. ', 'http://arxiv.org/abs/1406.1078', '\n', 'The definition of GRU here is slightly different from paper but compatible with CUDNN.', '\n', '\n\\[\\begin{split}\\begin{array}{ll}\n          r_t = \\mathrm{sigmoid}(W_{ir} x_t + b_{ir} + W_{hr} h_{(t-1)} + b_{hr}) \\\\\n          z_t = \\mathrm{sigmoid}(W_{iz} x_t + b_{iz} + W_{hz} h_{(t-1)} + b_{hz}) \\\\\n          n_t = \\tanh(W_{in} x_t + b_{in} + r_t * (W_{hn} h_{(t-1)}+ b_{hn})) \\\\\n          h_t = (1 - z_t) * n_t + z_t * h_{(t-1)} \\\\\n          \\end{array}\\end{split}\\]', '\n', 'Defined in src/operator/rnn.cc:L375', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.ROIPooling(data=None, rois=None, pooled_size=_Null, spatial_scale=_Null, out=None, name=None, **kwargs)Â¶","['Performs region of interest(ROI) pooling on the input array.', '\n', 'ROI pooling is a variant of a max pooling layer, in which the output size is fixed and\nregion of interest is a parameter. Its purpose is to perform max pooling on the inputs\nof non-uniform sizes to obtain fixed-size feature maps. ROI pooling is a neural-net\nlayer mostly used in training a ', 'Fast R-CNN', ' network for object detection.', '\n', 'This operator takes a 4D feature map as an input array and region proposals as ', 'rois', ',\nthen it pools over sub-regions of input and produces a fixed-sized output array\nregardless of the ROI size.', '\n', 'To crop the feature map accordingly, you can resize the bounding box coordinates\nby changing the parameters ', 'rois', ' and ', 'spatial_scale', '.', '\n', 'The cropped feature maps are pooled by standard max pooling operation to a fixed size output\nindicated by a ', 'pooled_size', ' parameter. batch_size will change to the number of region\nbounding boxes after ', 'ROIPooling', '.', '\n', 'The size of each region of interest doesnâ\x80\x99t have to be perfectly divisible by\nthe number of pooling sections(', 'pooled_size', ').', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/roi_pooling.cc:L224', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
