API,Description,Example1,Example2,,
"
 torch. quantize_per_tensor ( input ,  scale ,  zero_point ,  dtype )   → ¶","Converts a float tensor to a quantized tensor with given scale and zero point. 
 Parameters 
 
 
 Returns 
 A newly quantized tensor or list of quantized tensors. 
 Return type 
 Tensor 
 Example: 
",">>> torch.quantize_per_tensor(torch.tensor([-1.0,0.0,1.0,2.0]),0.1,10,torch.quint8)
tensor([-1.,  0.,  1.,  2.], size=(4,), dtype=torch.quint8,
       quantization_scheme=torch.per_tensor_affine, scale=0.1, zero_point=10)
>>> torch.quantize_per_tensor(torch.tensor([-1.0,0.0,1.0,2.0]),0.1,10,torch.quint8).int_repr()
tensor([ 0, 10, 20, 30], dtype=torch.uint8)
>>> torch.quantize_per_tensor([torch.tensor([-1.0,0.0]),torch.tensor([-2.0,2.0])],
>>> torch.tensor([0.1,0.2]),torch.tensor([10,20]),torch.quint8)
(tensor([-1.,  0.], size=(2,), dtype=torch.quint8,
    quantization_scheme=torch.per_tensor_affine, scale=0.1, zero_point=10),
    tensor([-2.,  2.], size=(2,), dtype=torch.quint8,
    quantization_scheme=torch.per_tensor_affine, scale=0.2, zero_point=20))
>>> torch.quantize_per_tensor(torch.tensor([-1.0,0.0,1.0,2.0]),torch.tensor(0.1),torch.tensor(10),torch.quint8)
tensor([-1.,  0.,  1.,  2.], size=(4,), dtype=torch.quint8,
   quantization_scheme=torch.per_tensor_affine, scale=0.10, zero_point=10)
",,,
"
 torch. quantize_per_channel ( input ,  scales ,  zero_points ,  axis ,  dtype )   → ¶","Converts a float tensor to a per-channel quantized tensor with given scales and zero points. 
 Parameters 
 
 
 Returns 
 A newly quantized tensor 
 Return type 
 Tensor 
 Example: 
",">>> x=torch.tensor([[-1.0,0.0],[1.0,2.0]])
>>> torch.quantize_per_channel(x,torch.tensor([0.1,0.01]),torch.tensor([10,0]),0,torch.quint8)
tensor([[-1.,  0.],
        [ 1.,  2.]], size=(2, 2), dtype=torch.quint8,
       quantization_scheme=torch.per_channel_affine,
       scale=tensor([0.1000, 0.0100], dtype=torch.float64),
       zero_point=tensor([10,  0]), axis=0)
>>> torch.quantize_per_channel(x,torch.tensor([0.1,0.01]),torch.tensor([10,0]),0,torch.quint8).int_repr()
tensor([[  0,  10],
        [100, 200]], dtype=torch.uint8)
",,,
"
 torch. dequantize ( tensor )   → ¶","Returns an fp32 Tensor by dequantizing a quantized Tensor 
 Parameters 
 tensor 
 
 
 
 Given a list of quantized Tensors, dequantize them and return a list of fp32 Tensors 
 Parameters 
 tensors 
",,,,
"
 torch. complex ( real ,  imag ,  * ,  out )   → ¶","Constructs a complex tensor with its real part equal to  real  and its
imaginary part equal to  imag . 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> real=torch.tensor([1,2],dtype=torch.float32)
>>> imag=torch.tensor([3,4],dtype=torch.float32)
>>> z=torch.complex(real,imag)
>>> z
tensor([(1.+3.j), (2.+4.j)])
>>> z.dtype
torch.complex64
",,,
"
 torch. real ( input )   → ¶","Returns a new tensor containing real values of the  self  tensor.
The returned tensor and  self  share the same underlying storage. 
 Parameters 
 input 
 Example: 
",">>> x=torch.randn(4,dtype=torch.cfloat)
>>> x
tensor([(0.3100+0.3553j), (-0.5445-0.7896j), (-1.6492-0.0633j), (-0.0638-0.8119j)])
>>> x.real
tensor([ 0.3100, -0.5445, -1.6492, -0.0638])
",,,
"
 torch. imag ( input )   → ¶","Returns a new tensor containing imaginary values of the  self  tensor.
The returned tensor and  self  share the same underlying storage. 
 Warning 
 imag() 
 
 Parameters 
 input 
 Example: 
",">>> x=torch.randn(4,dtype=torch.cfloat)
>>> x
tensor([(0.3100+0.3553j), (-0.5445-0.7896j), (-1.6492-0.0633j), (-0.0638-0.8119j)])
>>> x.imag
tensor([ 0.3553, -0.7896, -0.0633, -0.8119])
",,,
"
 torch. polar ( abs ,  angle ,  * ,  out )   → ¶","Constructs a complex tensor whose elements are Cartesian coordinates
corresponding to the polar coordinates with absolute value  abs  and angle
 angle . 
 out 
 Note 
 torch.polar 
 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> importnumpyasnp
>>> abs=torch.tensor([1,2],dtype=torch.float64)
>>> angle=torch.tensor([np.pi/2,5*np.pi/4],dtype=torch.float64)
>>> z=torch.polar(abs,angle)
>>> z
tensor([(0.0000+1.0000j), (-1.4142-1.4142j)], dtype=torch.complex128)
",,,
"
 torch. abs ( input ,  * ,  out )   → ¶","Computes the absolute value of each element in  input . 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> torch.abs(torch.tensor([-1,-2,3]))
tensor([ 1,  2,  3])
",,,
"
 torch. angle ( input ,  * ,  out )   → ¶","Computes the element-wise angle (in radians) of the given  input  tensor. 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 
 Note 
 Starting in PyTorch 1.8, angle returns pi for negative real numbers,
zero for non-negative real numbers, and propagates NaNs. Previously
the function would return zero for all real numbers and not propagate
floating-point NaNs. 
 Example: 
",">>> torch.angle(torch.tensor([-1+1j,-2+2j,3-3j]))*180/3.14159
tensor([ 135.,  135,  -45])
",,,
"
 torch. heaviside ( input ,  values ,  * ,  out )   → ¶","Computes the Heaviside step function for each element in  input .
The Heaviside step function is defined as: 
 heaviside 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> input=torch.tensor([-1.5,0,2.0])
>>> values=torch.tensor([0.5])
>>> torch.heaviside(input,values)
tensor([0.0000, 0.5000, 1.0000])
>>> values=torch.tensor([1.2,-2.0,3.5])
>>> torch.heaviside(input,values)
tensor([0., -2., 1.])
",,,
"
 torch. adjoint ( Tensor )   → ¶","Returns a view of the tensor conjugated and with the last two dimensions transposed. x.adjoint()  is equivalent to  x.transpose(-2,  for complex tensors and
to  x.transpose(-2,  for real tensors. 
 Example:: 
",,,,
"
 torch. argwhere ( input )   → ¶","Returns a tensor containing the indices of all non-zero elements of
 input .  Each row in the result contains the indices of a non-zero
element in  input . The result is sorted lexicographically, with
the last index changing the fastest (C-style). If  input  has  n  dimensions, then the resulting indices tensor
 out  is of size  ( , where  z  is the total number of
non-zero elements in the  input  tensor. 
 Note 
 This function is similar to NumPy’s  
 When  
 
 Parameters 
 {input} 
 Example: 
",">>> t=torch.tensor([1,0,1])
>>> torch.argwhere(t)
tensor([[0],
        [2]])
>>> t=torch.tensor([[1,0,1],[0,1,1]])
>>> torch.argwhere(t)
tensor([[0, 0],
        [0, 2],
        [1, 1],
        [1, 2]])
",,,
"
 torch. cat ( tensors ,  dim ,  * ,  out )   → ¶","Concatenates the given sequence of  seq  tensors in the given dimension.
All tensors must either have the same shape (except in the concatenating
dimension) or be empty. torch.cat()  can be seen as an inverse operation for  torch.split() 
and  torch.chunk() . torch.cat()  can be best understood via examples. 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> x=torch.randn(2,3)
>>> x
tensor([[ 0.6580, -1.0969, -0.4614],
        [-0.1034, -0.5790,  0.1497]])
>>> torch.cat((x,x,x),0)
tensor([[ 0.6580, -1.0969, -0.4614],
        [-0.1034, -0.5790,  0.1497],
        [ 0.6580, -1.0969, -0.4614],
        [-0.1034, -0.5790,  0.1497],
        [ 0.6580, -1.0969, -0.4614],
        [-0.1034, -0.5790,  0.1497]])
>>> torch.cat((x,x,x),1)
tensor([[ 0.6580, -1.0969, -0.4614,  0.6580, -1.0969, -0.4614,  0.6580,
         -1.0969, -0.4614],
        [-0.1034, -0.5790,  0.1497, -0.1034, -0.5790,  0.1497, -0.1034,
         -0.5790,  0.1497]])
",,,
"
 torch. concat ( tensors ,  dim ,  * ,  out )   → ¶",Alias of  torch.cat() .,,,,
"
 torch. concatenate ( tensors ,  axis ,  out )   → ¶",Alias of  torch.cat() .,,,,
"
 torch. conj ( input )   → ¶","Returns a view of  input  with a flipped conjugate bit. If  input  has a non-complex dtype,
this function just returns  input . 
 Note 
 torch.conj() 
 
 Warning 
 In the future,  
 
 Parameters 
 input 
 Example: 
",">>> x=torch.tensor([-1+1j,-2+2j,3-3j])
>>> x.is_conj()
False
>>> y=torch.conj(x)
>>> y.is_conj()
True
",,,
"
 torch. chunk ( input ,  chunks ,  dim )   → ¶","Attempts to split a tensor into the specified number of chunks. Each chunk is a view of
the input tensor. 
 Note 
 This function may return less then the specified number of chunks! 
 
 See also 
 torch.tensor_split() 
 If the tensor size along the given dimesion  dim  is divisible by  chunks ,
all returned chunks will be the same size.
If the tensor size along the given dimension  dim  is not divisible by  chunks ,
all returned chunks will be the same size, except the last one.
If such division is not possible, this function may return less
than the specified number of chunks. 
 Parameters 
 
 
 
 Example:: 
",,,,
"
 torch. dsplit ( input ,  indices_or_sections )   → ¶","Splits  input , a tensor with three or more dimensions, into multiple tensors
depthwise according to  indices_or_sections . Each split is a view of
 input . This is equivalent to calling torch.tensor_split(input, indices_or_sections, dim=2)
(the split dimension is 2), except that if  indices_or_sections  is an integer
it must evenly divide the split dimension or a runtime error will be thrown. This function is based on NumPy’s  numpy.dsplit() . 
 Parameters 
 
 
 
 Example:: 
",,,,
"
 torch. column_stack ( tensors ,  * ,  out )   → ¶","Creates a new tensor by horizontally stacking the tensors in  tensors . Equivalent to  torch.hstack(tensors) , except each zero or one dimensional tensor  t 
in  tensors  is first reshaped into a  (t.numel(),  column before being stacked horizontally. 
 Parameters 
 tensors 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.tensor([1,2,3])
>>> b=torch.tensor([4,5,6])
>>> torch.column_stack((a,b))
tensor([[1, 4],
    [2, 5],
    [3, 6]])
>>> a=torch.arange(5)
>>> b=torch.arange(10).reshape(5,2)
>>> torch.column_stack((a,b,b))
tensor([[0, 0, 1, 0, 1],
        [1, 2, 3, 2, 3],
        [2, 4, 5, 4, 5],
        [3, 6, 7, 6, 7],
        [4, 8, 9, 8, 9]])
",,,
"
 torch. dstack ( tensors ,  * ,  out )   → ¶","Stack tensors in sequence depthwise (along third axis). This is equivalent to concatenation along the third axis after 1-D and 2-D tensors have been reshaped by  torch.atleast_3d() . 
 Parameters 
 tensors 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.tensor([1,2,3])
>>> b=torch.tensor([4,5,6])
>>> torch.dstack((a,b))
tensor([[[1, 4],
         [2, 5],
         [3, 6]]])
>>> a=torch.tensor([[1],[2],[3]])
>>> b=torch.tensor([[4],[5],[6]])
>>> torch.dstack((a,b))
tensor([[[1, 4]],
        [[2, 5]],
        [[3, 6]]])
",,,
"
 torch. gather ( input ,  dim ,  index ,  * ,  sparse_grad ,  out )   → ¶","Gathers values along an axis specified by  dim . For a 3-D tensor the output is specified by: 
 input  and  index  must have the same number of dimensions.
It is also required that  index.size(d)  for all
dimensions  d .   out  will have the same shape as  index .
Note that  input  and  index  do not broadcast against each other. 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> t=torch.tensor([[1,2],[3,4]])
>>> torch.gather(t,1,torch.tensor([[0,0],[1,0]]))
tensor([[ 1,  1],
        [ 4,  3]])
",,,
"
 torch. hsplit ( input ,  indices_or_sections )   → ¶","Splits  input , a tensor with one or more dimensions, into multiple tensors
horizontally according to  indices_or_sections . Each split is a view of
 input . If  input  is one dimensional this is equivalent to calling
torch.tensor_split(input, indices_or_sections, dim=0) (the split dimension is
zero), and if  input  has two or more dimensions it’s equivalent to calling
torch.tensor_split(input, indices_or_sections, dim=1) (the split dimension is 1),
except that if  indices_or_sections  is an integer it must evenly divide
the split dimension or a runtime error will be thrown. This function is based on NumPy’s  numpy.hsplit() . 
 Parameters 
 
 
 
 Example:: 
",,,,
"
 torch. hstack ( tensors ,  * ,  out )   → ¶","Stack tensors in sequence horizontally (column wise). This is equivalent to concatenation along the first axis for 1-D tensors, and along the second axis for all other tensors. 
 Parameters 
 tensors 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.tensor([1,2,3])
>>> b=torch.tensor([4,5,6])
>>> torch.hstack((a,b))
tensor([1, 2, 3, 4, 5, 6])
>>> a=torch.tensor([[1],[2],[3]])
>>> b=torch.tensor([[4],[5],[6]])
>>> torch.hstack((a,b))
tensor([[1, 4],
        [2, 5],
        [3, 6]])
",,,
"
 torch. index_add ( input ,  dim ,  index ,  source ,  * ,  alpha ,  out )   → ¶",See  index_add_()  for function description.,,,,
"
 Tensor. index_add_ ( dim ,  index ,  source ,  * ,  alpha )   → ¶","Accumulate the elements of  alpha  times  source  into the  self 
tensor by adding to the indices in the order given in  index . For example,
if  dim ,  index[i] , and  alpha=-1 , then the  i th row of
 source  is subtracted from the  j th row of  self . The  dim th dimension of  source  must have the same size as the
length of  index  (which must be a vector), and all other dimensions must
match  self , or an error will be raised. For a 3-D tensor the output is given as: 
 
 Note 
 This operation may behave nondeterministically when given tensors on a CUDA device. See  
 
 Parameters 
 
 
 Keyword Arguments 
 alpha 
 Example: 
",">>> x=torch.ones(5,3)
>>> t=torch.tensor([[1,2,3],[4,5,6],[7,8,9]],dtype=torch.float)
>>> index=torch.tensor([0,4,2])
>>> x.index_add_(0,index,t)
tensor([[  2.,   3.,   4.],
        [  1.,   1.,   1.],
        [  8.,   9.,  10.],
        [  1.,   1.,   1.],
        [  5.,   6.,   7.]])
>>> x.index_add_(0,index,t,alpha=-1)
tensor([[  1.,   1.,   1.],
        [  1.,   1.,   1.],
        [  1.,   1.,   1.],
        [  1.,   1.,   1.],
        [  1.,   1.,   1.]])
",,,
"
 torch. index_copy ( input ,  dim ,  index ,  source ,  * ,  out )   → ¶",See  index_add_()  for function description.,,,,
"
 torch. index_reduce ( input ,  dim ,  index ,  source ,  reduce ,  * ,  include_self ,  out )   → ¶",See  index_reduce_()  for function description.,,,,
"
 Tensor. index_reduce_ ( dim ,  index ,  source ,  reduce ,  * ,  include_self )   → ¶","Accumulate the elements of  source  into the  self 
tensor by accumulating to the indices in the order given in  index 
using the reduction given by the  reduce  argument. For example, if  dim ,
 index[i] ,  reduce  and  include_self  then the  i th
row of  source  is multiplied by the  j th row of  self . If
 include_self=""True"" , the values in the  self  tensor are included
in the reduction, otherwise, rows in the  self  tensor that are accumulated
to are treated as if they were filled with the reduction identites. The  dim th dimension of  source  must have the same size as the
length of  index  (which must be a vector), and all other dimensions must
match  self , or an error will be raised. For a 3-D tensor with  reduce=""prod""  and  include_self=True  the
output is given as: 
 
 Note 
 This operation may behave nondeterministically when given tensors on a CUDA device. See  
 
 Note 
 This function only supports floating point tensors. 
 
 Warning 
 This function is in beta and may change in the near future. 
 
 Parameters 
 
 
 Keyword Arguments 
 include_self 
 Example: 
",">>> x=torch.empty(5,3).fill_(2)
>>> t=torch.tensor([[1,2,3],[4,5,6],[7,8,9],[10,11,12]],dtype=torch.float)
>>> index=torch.tensor([0,4,2,0])
>>> x.index_reduce_(0,index,t,'prod')
tensor([[20., 44., 72.],
        [ 2.,  2.,  2.],
        [14., 16., 18.],
        [ 2.,  2.,  2.],
        [ 8., 10., 12.]])
>>> x=torch.empty(5,3).fill_(2)
>>> x.index_reduce_(0,index,t,'prod',include_self=False)
tensor([[10., 22., 36.],
        [ 2.,  2.,  2.],
        [ 7.,  8.,  9.],
        [ 2.,  2.,  2.],
        [ 4.,  5.,  6.]])
",,,
"
 torch. index_select ( input ,  dim ,  index ,  * ,  out )   → ¶","Returns a new tensor which indexes the  input  tensor along dimension
 dim  using the entries in  index  which is a  LongTensor . The returned tensor has the same number of dimensions as the original tensor
( input ).  The  dim th dimension has the same size as the length
of  index ; other dimensions have the same size as in the original tensor. 
 Note 
 The returned tensor does  
 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> x=torch.randn(3,4)
>>> x
tensor([[ 0.1427,  0.0231, -0.5414, -1.0009],
        [-0.4664,  0.2647, -0.1228, -1.1068],
        [-1.1734, -0.6571,  0.7230, -0.6004]])
>>> indices=torch.tensor([0,2])
>>> torch.index_select(x,0,indices)
tensor([[ 0.1427,  0.0231, -0.5414, -1.0009],
        [-1.1734, -0.6571,  0.7230, -0.6004]])
>>> torch.index_select(x,1,indices)
tensor([[ 0.1427, -0.5414],
        [-0.4664, -0.1228],
        [-1.1734,  0.7230]])
",,,
